Majority protein IDs,Protein names,Gene names,ORF,Peptides,Unique peptides,Sequence coverage [%],PEP,Copy number
P25042,Repressor ROX1,ROX1,YPR065W,1,1,2.4,0.00025648,26.12197721
Q02749,Uncharacterized protein YPL068C,YPL068C,YPL068C,2,2,5.5,3.73E-06,26.14489673
Q08622,"Genetic interactor of prohibitins 3, mitochondrial",GEP3,YOR205C,5,5,8.6,2.84E-12,26.15480992
P38179,"Dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase",ALG3,YBL082C,3,3,6.6,8.17E-11,26.27793463
P32800,Peroxisomal biogenesis factor 2,PEX2,YJL210W,1,1,4.8,9.68E-06,26.39648826
Q08227,"Phosphatidylinositol 4,5-bisphosphate 5-phosphatase INP54",INP54,YOL065C,2,2,6,3.88E-14,26.4821456
P33122,Serine-rich protein TYE7,TYE7,YOR344C,2,2,10.7,1.67E-07,26.55286873
P12954,ATP-dependent DNA helicase SRS2,SRS2,YJL092W,9,9,7.8,2.82E-26,26.67075341
P43549,Uncharacterized membrane protein YFL054C,YFL054C,YFL054C,3,3,6.8,3.64E-22,26.72887316
Q12013,Probable palmitoyltransferase AKR2,AKR2,YOR034C,2,2,4,9.85E-12,26.86847787
P20048,Dolichol kinase,SEC59,YMR013C,2,2,5,2.87E-08,26.96969457
Q12083,DNA mismatch repair protein MLH3,MLH3,YPL164C,4,4,7.8,4.95E-29,26.97783361
P15801,DNA polymerase gamma,MIP1,YOR330C,8,8,7.7,1.62E-37,27.35951719
P38991,Spindle assembly checkpoint kinase,IPL1,YPL209C,3,2,9.3,1.90E-26,27.41548065
P53983,Protein ASI3,ASI3,YNL008C,3,3,4.4,2.13E-09,27.60577147
P38140,Transcription activator of gluconeogenesis ERT1,ERT1,YBR239C,4,4,11,3.98E-19,27.64563179
Q12039,"ATP-dependent DNA helicase HMI1, mitochondrial",HMI1,YOL095C,3,3,4.8,3.73E-14,27.69000642
P50104,Probable transcriptional regulatory protein STB4,STB4,YMR019W,3,3,3.7,2.91E-11,27.72243824
P35172,Probable trehalase,NTH2,YBR001C,7,5,7.8,1.74E-15,27.72764801
P34234,Protein LOT5,LOT5,YKL183W,1,1,4.2,1.42E-09,27.96365605
P53886,Anaphase-promoting complex subunit 1,APC1,YNL172W,11,11,8,1.16E-32,27.96530912
P53124,PHO85 cyclin-10,PCL10,YGL134W,3,3,11.1,3.81E-15,28.19896118
Q04172,"Sensitive to high expression protein 9, mitochondrial",SHE9,YDR393W,3,3,11,2.18E-15,28.38331085
Q12498,Pheromone-regulated membrane protein 4,PRM4,YPL156C,3,3,12.3,6.19E-29,28.49114986
P18898,Geranylgeranyl transferase type-1 subunit beta,CDC43,YGL155W,2,2,5.6,9.44E-07,28.56663102
Q02896,Alkaline ceramidase YDC1,YDC1,YPL087W,1,1,8.2,6.92E-13,28.6288285
P53099,Vitamin B6 transporter TPN1,TPN1,YGL186C,2,2,3.5,6.52E-07,28.90399239
P36168,Uncharacterized protein YKR096W,YKR096W,YKR096W,6,6,5.9,5.64E-39,29.01095512
P38893,Uncharacterized isomerase YHR210C,YHR210C,YHR210C,1,1,4.1,5.47E-06,29.06245088
P08431,Galactose-1-phosphate uridylyltransferase,GAL7,YBR018C,2,2,6.8,3.56E-07,29.20736198
P53338,Maltose fermentation regulatory protein MAL13,MAL13,YGR288W,3,3,7.4,3.28E-10,29.21237248
P39967,Ubiquitin carboxyl-terminal hydrolase 9,UBP9,YER098W,3,3,4.2,2.66E-14,29.30049849
P06779,DNA repair protein RAD7,RAD7,YJR052W,2,2,5,4.73E-24,29.35193657
P53947,Vacuolar membrane protein YNL058C,,YNL058C,3,3,14.9,3.59E-12,29.7777836
Q12089,ATPase expression protein 3,AEP3,YPL005W,3,3,5.8,6.04E-16,29.80860193
Q08887,Nuclear division defective protein 1,NDD1,YOR372C,2,2,4.5,1.77E-14,30.37716277
P33420,Protein NIP100,NIP100,YPL174C,3,3,4.6,4.30E-06,30.44183209
Q03795,Uncharacterized membrane protein YMR155W,,YMR155W,2,2,3.7,9.71E-06,30.48462532
P53036,SIT4-associating protein SAP4,SAP4,YGL229C,5,5,7.8,2.10E-32,30.57569322
Q01574,Acetyl-coenzyme A synthetase 1,ACS1,YAL054C,4,4,7,6.30E-10,30.68284581
P40028,Holliday junction resolvase YEN1,YEN1,YER041W,5,5,6.6,3.57E-12,30.86297082
Q03718,Non-structural maintenance of chromosome element 5,NSE5,YML023C,2,2,9,1.37E-16,31.00055667
P53083,Mitochondrial distribution and morphology protein 34,MDM34,YGL219C,3,3,7.8,6.42E-13,31.13311162
P47113,Mitotic check point protein BFA1,BFA1,YJR053W,3,3,5.6,1.52E-12,31.39325098
P53032,Sterol uptake protein 1,SUT1,YGL162W,3,3,14.7,8.56E-10,31.44912818
Q04033,Probable aminopeptidase YDR415C,YDR415C,YDR415C,2,2,6.1,1.44E-10,31.56438381
Q06091,Pre-mRNA-splicing factor SNT309,SNT309,YPR101W,2,2,16,1.09E-05,31.6486325
P47042,Probable serine/threonine-protein kinase IKS1,IKS1,YJL057C,2,2,3.9,3.74E-10,31.66844035
Q03898,Filament protein FIN1,FIN1,YDR130C,2,2,5.8,3.65E-07,31.69970919
Q99359,Protein RAD61,RAD61,YDR014W,5,5,8.5,5.31E-16,31.73746825
Q12433,Protein AHC1,AHC1,YOR023C,5,5,8.5,7.95E-11,31.79987289
P38227,Quinidine resistance protein 3,QDR3,YBR043C,2,2,3.2,8.56E-08,31.98324225
P47172,Uncharacterized protein YJR141W,,YJR141W,3,3,11.5,1.36E-12,32.08618699
P40021,Zinc-regulated protein 8,ZRG8,YER033C,9,9,13.5,4.49E-31,32.20948093
Q12342,Protein LDB17,LDB17,YDL146W,3,3,6.7,3.87E-08,32.43280396
P53227,Uncharacterized protein YGR042W,YGR042W,YGR042W,2,2,11.4,5.50E-08,32.47118845
Q12322,Putative uncharacterized protein YOL114C,,YOL114C,1,1,10.4,1.27E-06,32.56297596
P34239,Protein LST4,LST4,YKL176C,4,4,8.8,4.49E-33,32.6451229
Q12274,Uncharacterized protein YOR097C,,YOR097C,1,1,4.6,0.00084078,32.81579445
Q07471,Thiamine metabolism regulatory protein THI3,THI3,YDL080C,4,4,8.7,2.35E-14,32.85769643
Q00947,Transcription factor STP1,STP1,YDR463W,3,3,8.7,1.08E-08,32.87738398
P38790,"Hydroxyacyl-thioester dehydratase type 2, mitochondrial",HTD2,YHR067W,1,1,3.2,0.00061438,33.05549897
P30606,Myo-inositol transporter 2,ITR2,YOL103W,5,4,9.2,4.50E-19,33.06206575
Q02981,"ABC1 family protein YPL109C, mitochondrial",,YPL109C,3,3,5.5,2.87E-19,33.28243675
P53944,Mitochondrial N(5)-glutamine methyltransferase MTQ1,MTQ1,YNL063W,1,1,3.2,0.00013283,33.33053656
P34218,Histone acetyltransferase SAS3,SAS3,YBL052C,6,6,7.8,1.11E-25,33.54949049
P38757,Nuclear envelope morphology protein 1,NEM1,YHR004C,2,2,4.5,0.00015416,33.95034474
P53939,Protein NIS1,NIS1,YNL078W,2,2,5.4,0.00013854,33.95701828
P53630,Dethiobiotin synthetase,BIO4,YNR057C,4,4,24.1,7.11E-09,34.32493545
P40026,DNA repair protein KRE29,KRE29,YER038C,4,4,8.4,1.64E-09,34.50765738
Q12027,Uncharacterized protein YDL176W,YDL176W,YDL176W,3,3,4.1,1.07E-08,34.54479522
Q05521,Diacylglycerol pyrophosphate phosphatase 1,DPP1,YDR284C,1,1,2.8,0.0030055,34.61533677
P38854,Topoisomerase I damage affected protein 11,TDA11,YHR159W,5,5,11.7,4.83E-15,34.63156151
Q12182,Uncharacterized protein YOR342C,,YOR342C,3,3,12.2,1.92E-10,34.74215707
P07834,Cell division control protein 4,CDC4,YFL009W,3,3,4.9,6.60E-17,34.74705799
P33200,Transcription factor PDR3,PDR3,YBL005W,4,4,6.8,2.01E-11,34.81100299
Q00453,Probable transcription repressor protein RGM1,RGM1,YMR182C,1,1,4.3,0.00037497,34.93395274
P28519,DNA repair protein RAD14,RAD14,YMR201C,1,1,5.7,1.52E-16,35.00250972
Q03036,Uncharacterized protein IRC4,IRC4,YDR540C,2,2,15.6,4.19E-09,35.09194612
P28743,Kinesin-like protein KIP2,KIP2,YPL155C,5,5,7.2,1.57E-13,35.15476277
Q12436,Zinc-regulated transporter 2,ZRT2,YLR130C,3,3,13,2.96E-17,35.21440867
Q08970,Mitochondrial metal transporter 2,MMT2,YPL224C,3,3,8.3,1.01E-09,35.26513523
P38860,"GTPase MTG2, mitochondrial",MTG2,YHR168W,3,3,8.3,3.81E-15,35.4275957
P53344;P40587,Protein COS6;Putative uncharacterized protein YIR043C,COS6,YGR295C,4,2,13.6,1.49E-12,35.4566204
P48743,RFX-like DNA-binding protein RFX1,RFX1,YLR176C,7,7,10.5,7.23E-46,35.49018606
P47072,Uncharacterized protein YJL016W/YJL017W,,YJL016W,4,4,10.7,7.79E-32,35.59555201
Q04629,Palmitoyltransferase SWF1,SWF1,YDR126W,1,1,4.5,1.73E-06,35.65229796
P25621,Pantothenate transporter FEN2,FEN2,YCR028C,1,1,2.9,8.26E-08,35.7599937
Q07930,Pre-mRNA leakage protein 1,PML1,YLR016C,1,1,11.3,2.62E-08,35.94739027
Q02803,Ornithine decarboxylase antizyme,OAZ1,YPL052W,2,2,7.2,4.44E-08,36.02609498
Q01589,Cell wall protein SED1,SED1,YDR077W,1,1,12.4,3.65E-05,36.14955442
P33400,pH-response transcription factor pacC/RIM101,RIM101,YHL027W,5,5,8.8,1.75E-15,36.24668336
P38695,Probable glucose transporter HXT5,HXT5,YHR096C,4,4,6.9,1.65E-13,36.66267503
Q08108,Lysophospholipase 3,PLB3,YOL011W,3,3,6.1,1.66E-13,36.9738562
P40474,Quinidine resistance protein 2,QDR2,YIL121W,2,2,2.8,6.46E-05,36.99622022
P38909,Cytochrome c mitochondrial import factor CYC2,CYC2,YOR037W,3,3,9.3,1.73E-13,37.04745243
P34225,Guanine-nucleotide exchange factor YEL1,YEL1,YBL060W,6,6,10.5,2.39E-26,37.07897378
P21826,"Malate synthase 2, glyoxysomal",DAL7,YIR031C,5,4,7.9,3.49E-13,37.104519
P40041,Putative transcription factor YER064C,YER064C,YER064C,4,4,15.4,6.89E-09,37.1613694
Q06820,Mitochondrial distribution and morphology protein 36,MDM36,YPR083W,4,4,10.7,1.63E-19,37.33022985
P24814,SCF E3 ubiquitin ligase complex F-box protein GRR1,GRR1,YJR090C,5,5,6.1,3.00E-28,37.50816893
P38907,Central kinetochore subunit CHL4,CHL4,YDR254W,6,5,14.2,1.78E-13,37.51299372
Q03214,Protein ECM5,ECM5,YMR176W,9,9,8.6,5.03E-29,37.69115879
P40514,Uncharacterized protein YIL067C,YIL067C,YIL067C,2,2,5,7.73E-08,37.86905256
P38211,GPI mannosyltransferase 2,GPI18,YBR004C,1,1,2.5,9.32E-05,38.19494714
P48237,Mitochondrial group I intron splicing factor CCM1,CCM1,YGR150C,4,4,6.1,2.79E-17,38.1954278
O13577,Damage-regulated import facilitator 1,DIF1,YLR437C,1,1,16.5,2.38E-06,38.21264107
Q12412,Protein PNS1,PNS1,YOR161C,1,1,1.7,0.0010708,38.36235656
Q04461,Uncharacterized protein YMR111C,,YMR111C,3,3,7.1,6.24E-12,38.43271588
Q08032,Cell division control protein 45,CDC45,YLR103C,6,6,11.2,1.61E-21,38.43545688
P47082,Vacuolar amino acid transporter 1,AVT1,YJR001W,3,3,6.5,1.35E-23,38.57646545
P38806,Chromatin modification-related protein YNG2,YNG2,YHR090C,3,3,11.7,3.07E-12,38.63579138
P34233,Transcriptional regulatory protein ASH1,ASH1,YKL185W,5,5,9.9,4.31E-12,38.76450257
P32580,"ATP-dependent RNA helicase SUV3, mitochondrial",SUV3,YPL029W,7,7,9,7.81E-23,38.85732095
P25356,Beige protein homolog 1,BPH1,YCR032W,12,12,6.4,5.13E-47,39.15423149
Q03213,High-osmolarity-induced transcription protein 1,HOT1,YMR172W,4,4,6.8,7.59E-16,39.40637489
Q08109,ERAD-associated E3 ubiquitin-protein ligase HRD1,HRD1,YOL013C,2,2,6,3.47E-08,39.43232402
Q06510,Lysophosphatidylcholine acyltransferase,TAZ1,YPR140W,3,3,6.8,4.85E-08,39.51593447
P36167,Protein SRL3,SRL3,YKR091W,1,1,4.9,6.69E-08,39.52374315
P36022,"Dynein heavy chain, cytoplasmic",DYN1,YKR054C,24,24,6.9,4.07E-90,39.72510188
P08638,Regulatory protein LEU3,LEU3,YLR451W,6,6,10.2,1.59E-25,39.93327118
P40003,Biogenesis of lysosome-related organelles complex 1 subunit VAB2,VAB2,YEL005C,2,2,10.3,8.81E-05,40.09387349
P29461,Tyrosine-protein phosphatase 2,PTP2,YOR208W,5,5,10.4,1.10E-16,40.15429793
Q12006,Palmitoyltransferase PFA4,PFA4,YOL003C,1,1,2.1,0.0011792,40.2810253
Q12530,Ribonuclease MRP protein subunit RMP1,RMP1,YLR145W,1,1,3.5,0.0010964,40.38721151
Q12457,Myb domain-containing protein YDR026C,,YDR026C,7,6,16,3.28E-24,40.49969673
P35210,Protein SPT23,SPT23,YKL020C,6,5,8.2,1.92E-36,40.50699388
P27705,Regulatory protein MIG1,MIG1,YGL035C,4,4,11.9,7.11E-32,40.57948182
P22470,Protein SAN1,SAN1,YDR143C,1,1,1.8,8.99E-05,40.65915136
P40987,Chromosome instability protein 1,CIN1,YOR349W,8,8,9.8,2.62E-37,40.72340755
Q08465,Protein YNG1,YNG1,YOR064C,2,2,8.2,5.72E-06,40.73038074
P42223,Protein SBE2,SBE2,YDR351W,4,4,6.2,1.45E-19,40.7711303
Q12414;P0C2I5,Transposon Ty1-PL Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty1-LR2 Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H,TY1B-PL;TY1B-LR2,YLR157C-B;YPL257W-B,44,0,41.4,0,40.86698367
P48564,Uncharacterized protein YNL295W,,YNL295W,3,3,5.5,1.88E-09,40.93081327
P40522,Transcription factor VHR1,VHR1,YIL056W,4,4,5.5,2.05E-13,40.93776221
Q12141,Transposon Ty1-GR1 Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H,TY1B-GR1,YGR027W-B,45,0,41,0,41.02143677
P14242,DNA mismatch repair protein PMS1,PMS1,YNL082W,9,9,13.6,1.89E-25,41.03565533
P53123,"Ribosomal RNA methyltransferase MRM2, mitochondrial",MRM2,YGL136C,2,2,11.2,9.42E-10,41.26346993
P53982,Isocitrate dehydrogenase [NADP],IDP3,YNL009W,4,3,11.7,1.03E-18,41.28062739
P42837,Polyphosphoinositide phosphatase,FIG4,YNL325C,3,3,5.9,4.50E-27,41.74540177
P25353,Ectonucleotide pyrophosphatase/phosphodiesterase 1;Alkaline phosphodiesterase 1;Nucleotide pyrophosphatase,NPP1,YCR026C,3,3,4.4,8.20E-13,41.98315077
P53955,"Phosphatidylinositol 4,5-bisphosphate-binding protein SLM2",SLM2,YNL047C,6,6,9.3,1.03E-24,42.01521953
P41696,Asparagine-rich zinc finger protein AZF1,AZF1,YOR113W,9,9,12.3,1.74E-31,42.17980404
P38257,Crossover junction endonuclease MMS4,MMS4,YBR098W,6,6,10.7,3.63E-19,42.42254901
Q03049,Putative uncharacterized oxidoreductase YDR541C,YDR541C,YDR541C,2,2,9.9,4.13E-11,42.53428219
P40309,K(+)/H(+) antiporter 1,KHA1,YJL094C,6,6,6.6,8.30E-20,42.57896402
Q03002,Fatty acyl-CoA synthetase and RNA processing-associated kinase 1,FRK1,YPL141C,6,5,8.2,2.97E-57,42.72426862
P11927,Cell division control protein KAR1,KAR1,YNL188W,4,4,11.3,1.24E-18,42.9209315
Q06199,Pyridoxamine 5-phosphate oxidase YLR456W homolog,YLR456W,YLR456W,2,2,9.3,6.83E-06,42.94485446
Q12440,Anaphase-promoting complex subunit 2,APC2,YLR127C,6,6,9.5,4.58E-29,43.09167899
P47029,Arrestin-related trafficking adapter 3,ALY2,YJL084C,7,7,6.7,7.12E-26,43.13479002
P25348,"54S ribosomal protein L32, mitochondrial",MRPL32,YCR003W,1,1,3.8,0.0030156,43.16639476
P38967,Tryptophan permease,TAT2,YOL020W,3,3,5.1,1.27E-11,43.53861947
P25354,DUP240 protein YCR007C,,YCR007C,1,1,8.4,5.28E-11,43.56307717
Q03702,"Cruciform cutting endonuclease 1, mitochondrial",CCE1,YKL011C,3,3,11.3,4.65E-19,43.59019701
P41817,Homeobox protein CUP9,CUP9,YPL177C,3,3,16.3,2.92E-18,43.65913605
Q12311,NuA3 HAT complex component NTO1,NTO1,YPR031W,6,6,9.9,3.82E-28,43.74414661
Q08457,Mitochondrial morphogenesis protein SLD7,SLD7,YOR060C,2,2,10.5,3.07E-13,43.75637048
P38700,Adaptin medium chain homolog APM2,APM2,YHL019C,4,4,7.9,9.97E-16,43.85002289
P46961,Phosphatidylinositol N-acetylglucosaminyltransferase GPI2 subunit,GPI2,YPL076W,1,1,7.1,4.91E-08,43.88447117
Q12301,Uncharacterized membrane protein YDL180W,YDL180W,YDL180W,2,2,8.2,1.73E-15,44.35510541
P48581,DNA damage checkpoint control protein RAD17,RAD17,YOR368W,3,3,7,1.89E-09,44.49140177
P24720,Protein MNE1,MNE1,YOR350C,6,6,11.8,7.74E-29,45.33531043
Q04214,Transposon Ty1-MR1 Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H,TY1B-MR1,YMR045C,35,0,29.9,0,45.45489321
Q06159,Uncharacterized membrane protein YLR312C,YLR312C,YLR312C,2,2,3,6.34E-08,45.74572667
Q08748,Uncharacterized protein YOR296W,YOR296W,YOR296W,10,10,10.8,6.66E-33,45.84049011
P38714,"Arginine--tRNA ligase, mitochondrial",MSR1,YHR091C,4,4,9.3,6.82E-34,46.0602402
Q04195,E3 SUMO-protein ligase SIZ1,SIZ1,YDR409W,7,7,8.4,1.15E-46,46.17703314
Q12303,Aspartic proteinase yapsin-3,YPS3,YLR121C,5,5,20.3,5.39E-20,46.21214931
P34758,Protein SCD5,SCD5,YOR329C,2,2,4.5,2.30E-14,46.33046503
P21268,Cyclin-dependent kinase inhibitor FAR1,FAR1,YJL157C,6,6,8.7,7.66E-16,46.43480413
P53267,DASH complex subunit DAM1,DAM1,YGR113W,3,3,10.5,2.27E-14,46.4861259
Q06152,Uncharacterized protein YLR271W,YLR271W,YLR271W,4,4,18.2,1.26E-32,46.66517937
P18412,Ty transcription activator TEC1,TEC1,YBR083W,3,3,7.2,2.73E-13,46.84448764
P07252,Cytochrome B pre-mRNA-processing protein 1,CBP1,YJL209W,4,4,6.9,4.38E-17,46.95275793
P07249,Arginine metabolism regulation protein I,ARG80,YMR042W,3,3,19.2,2.11E-07,46.99153374
P31244,DNA repair protein RAD16,RAD16,YBR114W,4,4,8.2,8.74E-20,47.38735504
P42845,Protein STB1,STB1,YNL309W,5,5,15.2,3.15E-13,47.41004563
P21192,Metallothionein expression activator,ACE2,YLR131C,7,7,9.4,1.53E-33,47.92057569
P53169,YAP1-binding protein 2,YBP2,YGL060W,6,6,8.6,2.56E-13,48.12834932
P38888,ER degradation-enhancing alpha-mannosidase-like protein 1,MNL1,YHR204W,2,2,4.5,4.79E-07,48.14481372
Q04740,Ribonuclease H,RNH1,YMR234W,5,5,17,4.77E-15,48.20106773
P38273,Vacuolar fusion protein CCZ1,CCZ1,YBR131W,7,7,11.6,1.77E-25,48.27752012
Q12256,Polyamine transporter 4,TPO4,YOR273C,2,2,3.9,5.48E-07,48.42258024
Q08206,Uncharacterized protein YOL036W,YOL036W,YOL036W,4,4,11.7,2.03E-20,48.4381454
P38114,Uncharacterized transcriptional regulatory protein TBS1,TBS1,YBR150C,9,9,10.2,1.85E-28,48.61961672
P32363,Phosphatidylinositol N-acetylglucosaminyltransferase GPI3 subunit,SPT14,YPL175W,4,4,11.9,5.26E-14,48.87146767
Q12505,Serine/threonine-protein kinase SKS1,SKS1,YPL026C,2,2,4.8,4.08E-10,49.0681063
P38283,Inner centromere protein-related protein SLI15,SLI15,YBR156C,5,5,8.5,1.29E-12,49.17438977
Q08693,Putative zinc metalloprotease TRE2,TRE2,YOR256C,8,8,12.6,2.68E-52,49.65052969
P53150,Ligase-interacting factor 1,LIF1,YGL090W,3,3,7.6,5.55E-09,49.72324435
Q05863,"Uncharacterized peptide chain release factor-like protein YLR281C, mitochondrial",YLR281C,YLR281C,1,1,7.7,0.0034117,49.83855414
Q05648,Uncharacterized protein YDR282C,YDR282C,YDR282C,5,5,14.3,5.43E-12,49.85666454
Q12468,COP9 signalosome complex subunit 5,RRI1,YDL216C,3,3,8.4,2.97E-09,49.93274008
P18408,Phosphoadenosine phosphosulfate reductase,MET16,YPR167C,2,2,14.9,6.80E-06,50.10997746
P23059,"N-alpha-acetyltransferase 38, NatC auxiliary subunit",MAK31,YCR020C-A,1,1,18.2,0.00012149,50.12189568
P53950,Vacuolar segregation protein 7,VAC7,YNL054W,7,7,10,1.89E-30,50.13304899
P87275,Altered inheritance of mitochondria protein 11,AIM11,YER093C-A,1,1,8.8,8.41E-05,50.1639183
P40523,Uncharacterized protein YIL055C,YIL055C,YIL055C,4,4,10,4.26E-22,50.35807379
Q07534,Solute carrier family 25 member 38 homolog,YDL119C,YDL119C,2,2,8.8,1.03E-18,50.36661429
P33303,Succinate/fumarate mitochondrial transporter,SFC1,YJR095W,4,4,13.4,5.96E-19,50.38928856
P39980,Siderophore iron transporter 1,SIT1,YEL065W,3,3,5.3,9.92E-08,50.68641677
P46946,DNA endonuclease SAE2,SAE2,YGL175C,2,2,7,2.55E-05,50.76593265
Q12093,Mitochondrial tRNA-specific 2-thiouridylase 1,SLM3,YDL033C,3,3,12.7,1.57E-10,50.93996567
Q2V2P8,Uncharacterized protein YDR374W-A,YDR374W-A,YDR374W-A,1,1,22.5,5.25E-27,51.12017358
P38870,Uncharacterized protein YHR182W,YHR182W,YHR182W,8,8,11.7,2.55E-32,51.27064042
P32559,"tRNA modification GTPase MSS1, mitochondrial",MSS1,YMR023C,5,5,9.9,1.79E-13,51.3148323
Q06204,Putative hexokinase YLR446W,YLR446W,YLR446W,2,2,5.3,4.82E-07,51.32983316
P22148,Protein MSN1,MSN1,YOL116W,3,3,15.4,1.80E-11,51.40963746
P46997,J protein JJJ2,JJJ2,YJL162C,6,6,18.7,7.88E-25,51.47900608
P33301,DNA repair protein XRS2,XRS2,YDR369C,6,6,9.6,3.41E-43,51.52715114
Q03455,Probable zinc transporter MSC2,MSC2,YDR205W,3,3,6.1,4.06E-08,51.52737961
P54074,Protein ASI1,ASI1,YMR119W,4,4,6.9,4.09E-11,51.72166438
P40537,Ubiquitin-like-specific protease 2,ULP2,YIL031W,10,10,15.2,5.62E-43,51.90240631
P53246,Late endosome and vacuole interface protein 11,ENV11,YGR071C,5,5,6.7,3.11E-25,52.10879628
P18888,Transcription regulatory protein SNF6,SNF6,YHL025W,2,2,6.6,2.71E-07,52.21098098
P47005,F-box protein DAS1,DAS1,YJL149W,6,6,10.7,1.21E-20,52.21890225
Q04748,"Protein SOV1, mitochondrial",SOV1,YMR066W,10,10,15.1,9.16E-40,52.24630659
P53086,Kinesin-like protein KIP3,KIP3,YGL216W,4,4,8.9,5.21E-24,52.31124053
P43620,Sporulation protein RMD8,RMD8,YFR048W,3,3,9.7,7.65E-11,52.35949073
P43634,Activatory protein CHA4,CHA4,YLR098C,2,2,6,6.29E-08,52.37070275
P38824,"Cytochrome c oxidase-assembly factor COX23, mitochondrial",COX23,YHR116W,2,2,22.5,2.05E-08,52.42548773
P24813,AP-1-like transcription activator YAP2,CAD1,YDR423C,4,4,17.4,8.08E-19,52.55055796
Q06148,Non-homologous end-joining protein 1,NEJ1,YLR265C,3,3,10.2,2.81E-15,52.56981109
P39928,Osmosensing histidine protein kinase SLN1,SLN1,YIL147C,12,12,12.3,1.40E-69,52.66713236
P38430,Uncharacterized deoxyribonuclease YMR262W,,YMR262W,3,3,9.6,1.37E-09,52.82617985
P53198,Protein ERP6,ERP6,YGL002W,1,1,5.1,0.0001031,52.82730924
P36085,Protein STB6,STB6,YKL072W,7,7,13.1,1.03E-50,52.99093535
P38318,Uncharacterized membrane protein YBR220C,,YBR220C,2,2,4.6,7.70E-15,53.13041179
P42944,Protein GZF3,GZF3,YJL110C,6,6,19.2,4.00E-14,53.31089458
Q12418,Protein GIS3,GIS3,YLR094C,7,7,18.9,2.06E-47,53.31714162
Q08268,Probable transporter MCH4,MCH4,YOL119C,3,3,11.6,2.08E-12,53.32602197
Q04121,Endosomal/prevacuolar sodium/hydrogen exchanger,NHX1,YDR456W,2,2,9.6,1.59E-17,53.35900276
P47088,GPI mannosyltransferase 1,GPI14,YJR013W,2,2,6.5,1.46E-09,53.38126323
P40017,Carnitine O-acetyltransferase YAT2,YAT2,YER024W,7,7,11.1,1.29E-26,53.38742768
Q06644,Probable dolichyl-phosphate-mannose--protein mannosyltransferase 7,PMT7,YDR307W,3,3,5,8.17E-14,53.49445579
P46955,"Protein NCA3, mitochondrial",NCA3,YJL116C,3,3,14.8,5.52E-23,53.76101555
Q07824,Polyamine transporter 1,TPO1,YLL028W,2,2,4.8,5.03E-09,53.90748045
Q12224,Transcription factor RLM1,RLM1,YPL089C,4,4,13.2,1.33E-12,53.91596929
P38859,DNA replication ATP-dependent helicase DNA2,DNA2,YHR164C,15,15,11.8,1.67E-51,54.0314265
P38818,Cytochrome c lysine N-methyltransferase 1,CTM1,YHR109W,4,4,7.7,2.33E-18,54.13211159
P38704,Transcription factor STP2,STP2,YHR006W,4,4,14.2,1.39E-17,54.27160914
P46998,Mitochondrial membrane protein FMP33,FMP33,YJL161W,1,1,6.1,3.96E-06,54.41665334
P47168,TEL2-interacting protein 2,TTI2,YJR136C,4,4,10,7.92E-11,54.44700244
Q04399,Putative multicopper oxidase YDR506C,,YDR506C,4,4,8.9,4.29E-18,54.50376828
Q08214,DNA base excision repair N-glycosylase 2,NTG2,YOL043C,1,1,3.7,3.70E-08,54.60084639
P33336,Beta-glucan synthesis-associated protein SKN1,SKN1,YGR143W,4,4,9.3,4.13E-35,54.74683778
Q06177,Translation machinery-associated protein 10,TMA10,YLR327C,1,1,18.6,0.001822,54.93220695
Q99252,Protein ECM3,ECM3,YOR092W,5,5,10.4,7.87E-20,55.05631976
P34252,DNA replication regulator SLD2,SLD2,YKL108W,3,3,9.7,9.57E-11,55.08700513
P21705,Protein DAL82,DAL82,YNL314W,2,2,12.5,1.08E-15,55.1173355
Q99296,Uncharacterized protein YLR149C,YLR149C,YLR149C,6,6,11.9,2.94E-49,55.128267
P47988,TY1 enhancer activator,TEA1,YOR337W,5,5,8.7,1.06E-54,55.13957431
P20052,PHO85 cyclin PHO80,PHO80,YOL001W,2,2,11.6,4.22E-11,55.18247579
P32606,Putative mitochondrial translation system component PET127,PET127,YOR017W,7,7,9,7.70E-24,55.28202576
P48559,GTP-binding protein YPT11,YPT11,YNL304W,3,3,10.1,1.85E-08,55.61839671
P32917,Protein STE5,STE5,YDR103W,6,6,8.9,4.68E-24,55.73100465
P48016,Vacuolar acid trehalase,ATH1,YPR026W,8,8,8.2,5.78E-33,55.899056
P38800,Uncharacterized protein YHR080C,YHR080C,YHR080C,11,11,10.1,6.90E-48,56.54630589
P38307,Degradation in the endoplasmic reticulum protein 1,DER1,YBR201W,2,2,9.5,1.81E-06,56.56524735
P32464,Protein HYM1,HYM1,YKL189W,2,2,5,1.45E-07,56.65778035
Q07379,Putative uncharacterized protein YDL057W,YDL057W,YDL057W,2,2,6.7,1.42E-06,56.89482168
